Timestamp,Force
5106334,0
5106344,0
5106354,0
5106365,0
5106375,0
5106384,0
5106394,0
5106404,0
5106414,0
5106424,0
5106434,0
5106444,0
5106454,0
5106464,0
5106474,0
5106484,0
5106494,0
5106504,0
5106514,0
5106524,0
5106534,0
5106544,0
5106554,0
5106564,0
5106574,0
5106584,0
5106594,0
5106604,0
5106614,0
5106624,0
5106634,0
5106644,0
5106654,0
5106664,0
5106674,0
5106684,0
5106694,0
5106704,0
5106714,0
5106724,0
5106734,0
5106744,0
5106754,0
5106764,0
5106774,0
5106784,0
5106794,0
5106804,0
5106814,0
5106824,0
5106834,0
5106844,0
5106854,0
5106864,0
5106874,0
5106884,0
5106894,0
5106904,0
5106914,0
5106924,0
5106934,0
5106944,0
5106954,0
5106964,0
5106974,0
5106984,0
5106994,0
5107004,0
5107014,0
5107024,0
5107034,0
5107044,0
5107054,0
5107064,0
5107074,0
5107084,0
5107094,0
5107104,0
5107114,0
5107124,0
5107134,0
5107144,0
5107154,0
5107164,0
5107174,0
5107184,0
5107194,0
5107204,0
5107214,0
5107224,0
5107234,0
5107244,0
5107254,0
5107264,0
5107274,0
5107284,0
5107294,0
5107304,0
5107314,0
5107324,0
5107334,0
5107344,0
5107354,0
5107364,0
5107374,0
5107384,0
5107394,0
5107404,0
5107414,0
5107424,0
5107434,0
5107444,0
5107454,0
5107464,0
5107474,0
5107484,0
5107494,0
5107504,0
5107514,0
5107524,0
5107534,0
5107544,0
5107554,0
5107564,0
5107574,0
5107584,0
5107594,0
5107604,0
5107614,0
5107624,0
5107634,0
5107644,0
5107654,0
5107664,0
5107674,0
5107684,0
5107694,0
5107704,0
5107714,0
5107724,0
5107734,0
5107744,0
5107754,0
5107764,3941
5107774,3769
5107784,3930
5107794,3949
5107804,3945
5107814,3938
5107824,3842
5107834,3658
5107844,3137
5107854,157
5107864,0
5107874,0
5107884,0
5107894,0
5107904,0
5107914,0
5107924,0
5107934,0
5107944,0
5107954,0
5107964,0
5107974,0
5107984,0
5107994,0
5108004,3764
5108014,3792
5108024,3923
5108034,3953
5108044,3939
5108054,3900
5108064,3727
5108074,3374
5108084,2646
5108094,352
5108104,0
5108114,0
5108124,0
5108134,0
5108144,0
5108154,0
5108164,0
5108174,0
5108184,0
5108194,0
5108204,0
5108214,0
5108224,0
5108234,3920
5108244,3754
5108254,3926
5108264,4030
5108274,4035
5108284,3994
5108294,3940
5108304,3797
5108314,3386
5108324,2365
5108334,0
5108344,0
5108354,0
5108364,0
5108374,0
5108384,0
5108394,0
5108404,0
5108414,0
5108424,0
5108434,0
5108444,0
5108454,0
5108464,0
5108474,0
5108484,4026
5108494,3782
5108504,4022
5108514,4079
5108524,4095
5108534,4095
5108544,4083
5108554,4016
5108564,3934
5108574,3685
5108584,2925
5108594,37
5108604,0
5108614,0
5108624,0
5108634,0
5108644,0
5108654,0
5108664,0
5108674,0
5108684,0
5108694,0
5108704,0
5108714,0
5108724,0
5108734,3789
5108744,3667
5108754,3917
5108764,4003
5108774,4063
5108784,4058
5108794,4032
5108804,3994
5108814,3837
5108824,3677
5108834,3279
5108844,2645
5108854,0
5108864,0
5108874,0
5108884,0
5108894,0
5108904,0
5108914,0
5108924,0
5108934,0
5108944,0
5108954,0
5108964,0
5108974,0
5108984,0
5108994,0
5109004,3972
5109014,3838
5109024,3969
5109034,4055
5109044,4059
5109054,4048
5109064,3989
5109074,3891
5109084,3710
5109094,3121
5109104,1253
5109114,0
5109124,0
5109134,0
5109144,0
5109154,0
5109164,0
5109174,0
5109184,0
5109194,0
5109204,0
5109214,0
5109224,0
5109234,0
5109244,0
5109254,0
5109264,0
5109274,3408
5109284,3786
5109294,3937
5109304,3970
5109314,3975
5109324,3952
5109334,3857
5109344,3713
5109354,3310
5109364,2429
5109374,0
5109384,0
5109394,0
5109404,0
5109414,0
5109424,0
5109434,0
5109444,0
5109454,0
5109464,0
5109474,0
5109484,0
5109494,0
5109504,0
5109514,0
5109524,4034
5109534,3699
5109544,3935
5109554,4026
5109564,4011
5109574,4007
5109584,3963
5109594,3839
5109604,3555
5109614,3017
5109624,813
5109634,0
5109644,0
5109654,0
5109664,0
5109674,0
5109684,0
5109694,0
5109704,0
5109714,0
5109724,0
5109734,0
5109744,0
5109754,0
5109764,0
5109774,0
5109784,0
5109794,3553
5109804,3696
5109814,3875
5109824,3911
5109834,3904
5109844,3878
5109854,3821
5109864,3663
5109874,3393
5109884,2736
5109894,251
5109904,0
5109914,0
5109924,0
5109934,0
5109944,0
5109954,0
5109964,0
5109974,0
5109984,0
5109994,0
5110004,0
5110014,0
5110024,0
5110034,0
5110044,0
5110054,3948
5110064,3679
5110074,3890
5110084,3963
5110094,3957
5110104,3913
5110114,3790
5110124,3530
5110134,3116
5110144,1980
5110154,0
5110164,0
5110174,0
5110184,0
5110194,0
5110204,0
5110214,0
5110224,0
5110234,0
5110244,0
5110254,0
5110264,0
5110274,0
5110284,0
5110294,0
5110304,3493
5110314,3855
5110324,3942
5110334,3949
5110344,3951
5110354,3918
5110364,3794
5110374,3648
5110384,3145
5110394,1575
5110404,0
5110414,0
5110424,0
5110434,0
5110444,0
5110454,0
5110464,0
5110474,0
5110484,0
5110494,0
5110504,0
5110514,0
5110524,0
5110534,0
5110544,0
5110554,3563
5110564,3721
5110574,3866
5110584,3951
5110594,3968
5110604,3948
5110614,3888
5110624,3748
5110634,3441
5110644,2821
5110654,827
5110664,0
5110674,0
5110684,0
5110694,0
5110704,0
5110714,0
5110724,0
5110734,0
5110744,0
5110754,0
5110764,0
5110774,0
5110784,0
5110794,3803
5110804,3774
5110814,3938
5110824,4014
5110834,4043
5110844,4029
5110854,3984
5110864,3950
5110874,3824
5110884,3569
5110894,3068
5110904,1680
5110914,0
5110924,0
5110934,0
5110944,0
5110954,0
5110964,0
5110974,0
5110984,0
5110994,0
5111004,0
5111014,0
5111024,0
5111034,0
5111044,0
5111054,0
5111064,0
5111074,0
5111084,0
5111094,0
5111104,0
5111114,0
5111124,0
5111134,0
5111144,0
5111154,2454
5111164,2559
5111174,2858
5111184,2962
5111194,3008
5111204,3005
5111214,2913
5111224,2599
5111234,1616
5111244,0
5111254,0
5111264,0
5111274,0
5111284,0
5111294,0
5111304,0
5111314,0
5111324,0
5111334,0
5111344,0
5111354,0
5111364,0
5111374,0
5111384,0
5111394,0
5111404,0
5111414,0
5111424,0
5111434,0
5111444,0
5111454,0
5111464,0
5111474,0
5111484,0
5111494,2848
5111504,2155
5111514,2613
5111524,2693
5111534,2770
5111544,2741
5111554,2615
5111564,1915
5111574,204
5111584,0
5111594,0
5111604,0
5111614,0
5111624,0
5111634,0
5111644,0
5111654,0
5111664,0
5111674,0
5111684,0
5111694,0
5111704,0
5111714,0
5111724,0
5111734,0
5111744,0
5111754,0
5111764,0
5111774,0
5111784,0
5111794,0
5111804,0
5111814,0
5111824,0
5111834,338
5111844,2166
5111854,2146
5111864,2424
5111874,2498
5111884,2580
5111894,2594
5111904,2559
5111914,2559
5111924,2514
5111934,2400
5111944,2162
5111954,1809
5111964,1173
5111974,304
5111984,0
5111994,0
5112004,0
5112014,0
5112024,0
5112034,0
5112044,0
5112054,0
5112064,0
5112074,0
5112084,0
5112094,0
5112104,0
5112114,0
5112124,0
5112134,0
5112144,0
5112154,0
5112164,0
5112174,0
5112184,0
5112194,0
5112204,0
5112214,0
5112224,0
5112234,0
5112244,0
5112254,0
5112264,0
5112274,0
5112284,0
5112294,0
5112304,0
5112314,0
5112324,0
5112334,0
5112344,0
5112354,0
5112364,0
5112374,0
5112384,0
5112394,0
5112404,0
5112414,0
5112424,0
5112434,0
5112444,0
5112454,0
5112464,0
5112474,0
5112484,0
5112494,0
5112504,0
5112514,0
