Timestamp,Force
516858,4095
516868,4095
516879,4095
516890,4095
516898,4095
516908,4095
516918,4095
516928,4095
516938,4095
516948,4095
516958,4095
516968,4095
516978,4095
516988,4095
516998,4095
517008,4095
517018,4095
517028,4095
517038,4095
517048,4095
517058,4095
517068,4095
517078,4095
517088,4095
517098,4095
517108,4095
517118,4095
517128,4095
517138,4095
517148,4095
517158,4095
517168,4095
517178,4095
517188,4095
517198,4095
517208,4095
517218,4095
517228,4095
517238,4095
517248,4095
517258,4095
517268,4095
517278,4095
517288,4095
517298,4095
517308,4095
517318,4095
517328,4095
517338,4095
517348,4095
517359,4095
517368,4095
517378,4095
517388,4095
517398,4095
517408,4095
517418,4095
517428,4095
517438,4095
517448,4095
517458,4095
517468,4095
517478,3858
517488,3739
517498,3730
517508,3759
517518,3773
517528,3775
517538,3792
517548,3803
517558,3809
517568,3809
517578,3815
517588,3803
517598,3790
517608,3787
517618,3770
517628,3760
517638,3739
517648,3724
517658,3696
517668,3665
517678,3658
517688,3648
517698,3647
517708,3661
517718,3668
517728,3679
517738,3703
517748,3731
517758,3750
517768,3791
517778,3967
517788,4077
517798,4095
517808,4095
517818,4095
517828,4095
517838,4095
517848,4095
517858,4095
517868,4095
517878,4095
517888,4095
517898,4095
517908,4095
517918,4095
517928,4095
517938,4095
517948,4095
517958,4095
517968,4095
517978,4095
517988,4095
517998,4095
518008,4095
518018,4095
518028,4095
518038,4095
518048,4095
518058,4095
518068,4095
518078,4095
518088,4095
518098,4095
518108,4095
518118,4095
518128,4095
518138,4095
518148,4095
518158,4095
518168,4095
518178,4095
518188,4095
518198,4095
518208,4095
518218,4095
518228,4095
518238,4095
518248,3722
518258,2000
518268,1405
518278,2253
518288,2928
518298,3157
518308,3147
518318,3062
518328,3054
518338,3111
518348,3167
518358,3216
518368,3227
518378,3229
518388,3246
518398,3273
518408,3293
518418,3323
518428,3351
518438,3376
518448,3408
518458,3418
518468,3437
518478,3473
518488,3520
518498,3541
518508,3536
518518,3534
518528,3539
518538,3543
518548,3557
518558,3583
518568,3646
518578,3727
518588,3823
518598,4095
518608,4095
518618,4095
518628,4095
518638,4095
518648,4095
518658,4095
518668,4095
518678,4095
518688,4095
518698,4095
518708,4095
518718,4095
518728,4095
518738,4095
518748,4095
518758,4095
518768,4095
518778,4095
518788,2983
518798,3106
518808,3112
518818,3056
518828,2747
518838,2516
518848,2485
518858,2559
518868,2661
518878,2781
518888,2934
518898,3124
518908,3241
518918,3328
518928,3410
518938,3488
518948,3578
518958,3648
518968,3702
518978,3722
518988,3701
518998,3673
519008,3638
519018,3659
519028,3698
519038,3714
519048,3719
519058,3770
519068,3835
519079,3875
519088,3856
519098,3869
519108,3868
519118,4095
519128,4095
519138,0
519148,0
519158,4095
519168,4095
519178,4095
519188,4095
519198,4095
519208,4095
519218,4095
519228,4095
519238,4095
519248,4095
519258,4095
519268,4095
519278,4095
519288,4095
519298,2731
519308,2877
519318,3314
519328,2995
519338,2510
519348,2598
519358,2784
519368,2735
519378,2551
519388,2467
519398,2393
519408,2219
519418,1917
519428,1915
519438,1946
519448,1994
519458,2019
519468,2029
519478,2042
519489,2058
519498,2145
519508,2398
519518,2508
519528,2601
519538,2758
519548,2987
519558,3249
519568,3491
519578,3641
519588,3725
519598,3771
519608,3769
519618,3722
519628,3674
519638,3615
519648,3503
519658,3387
519668,3291
519678,3246
519688,3216
519698,3216
519708,3227
519718,3216
519728,3223
519738,3259
519748,3275
519758,3263
519768,3230
519778,3214
519788,3235
519798,3323
519808,3434
519818,3579
519828,3753
519838,3895
519848,4095
519859,4095
519868,4095
519878,0
519888,4095
519898,4095
519908,4095
519918,4095
519928,4095
519938,4095
519948,4095
519958,4095
519968,3984
519978,3326
519988,3152
519998,3421
520008,3517
520018,3232
520028,3113
520038,3121
520048,3171
520058,3251
520068,3339
520078,3379
520088,3383
520098,3431
520108,3493
520118,3573
520128,3634
520138,3660
520148,3635
520158,3552
520168,3495
520178,3612
520188,3753
520198,3804
520208,3839
520218,3869
520228,3890
520238,3898
520248,3910
520258,3913
520268,3920
520278,3965
520288,4095
520298,4095
520308,0
520318,4095
520328,4095
520338,4095
520348,4095
520358,4095
520368,4095
520378,4095
520388,4095
520398,4095
520408,4095
520418,4095
520428,4095
520438,2916
520448,3210
520458,3502
520468,3195
520478,2841
520488,2839
520498,2943
520508,2864
520518,2751
520528,2679
520538,2539
520548,2384
520558,2218
520568,2112
520578,2128
520588,2245
520598,2307
520608,2397
520618,2402
520628,2460
520638,2559
520648,2704
520658,2875
520668,3120
520678,3301
520688,3489
520698,3569
520708,3627
520718,3650
520728,3635
520738,3643
520749,3658
520759,3610
520768,3506
520778,3350
520788,3162
520798,3057
520808,3008
520818,2943
520828,2910
520838,2964
520848,3030
520858,3107
520868,3159
520878,3200
520888,3207
520898,3206
520908,3242
520918,3333
520928,3472
520938,3583
520948,3744
520958,4095
520968,0
520978,4095
520988,0
520998,4095
521008,4095
521018,4095
521028,4095
521038,4095
521048,4095
521058,4095
521068,4095
521078,3434
521088,3329
521098,3229
521108,3267
521118,3005
521128,2675
521138,2517
521148,2451
522158,4095
523168,0
533188,4095
534198,4095
534208,4095
534218,4095
534228,4095
534238,4095
534248,4095
534258,4095
534268,4095
534278,4095
534288,4095
534298,4095
534308,4095
534318,4095
534328,4095
534338,4095
534348,4095
534358,4095
534368,4095
534378,4095
534388,4095
534398,4095
534408,4095
534418,4095
534428,4095
534438,4095
534448,4095
534458,4095
534468,4095
534478,4095
534488,4095
534498,4095
534508,4095
534518,4095
534528,4095
534538,4095
534548,4095
534558,4095
534568,4095
534578,4095
534588,4095
534598,4095
534608,4095
534618,4095
534628,4095
534638,4095
534648,4083
534658,3301
534668,3043
534679,3160
534688,3225
534698,3307
534709,3362
534718,3376
534728,3395
534738,3421
534748,3456
534758,3491
534768,3521
534778,3548
534788,3583
534798,3602
534808,3607
534819,3618
534828,3602
534838,3600
534848,3602
534858,3611
534868,3610
534878,3630
534888,3630
534898,3631
534908,3637
534918,3645
534928,3670
534938,3665
534948,3690
534958,3722
534968,3743
534978,3793
534988,3819
534998,3855
535008,3866
535018,3898
535028,3905
535038,3909
535048,3901
535058,3840
535068,3771
535078,3696
535088,3745
535098,4043
535108,4095
535118,4095
535128,4095
535138,4095
535148,4095
535158,4095
535168,4095
535178,4095
535188,4095
535198,4095
535208,4095
535218,4095
535228,4095
535238,4095
535248,4095
535258,4095
535268,4095
535278,4095
545298,3531
549308,3879
549318,3911
549328,3935
549338,3945
549348,3952
549358,3906
549368,3837
549378,3774
549388,3749
549398,3856
549408,4086
549418,4095
549428,4095
549438,4095
549448,4095
549458,4095
549468,4095
549478,4095
549488,4095
549498,4095
549508,4095
549518,4095
549528,4095
549538,4095
549548,4095
549558,4095
549568,4095
549578,4095
549588,4095
549598,4095
549608,4095
549618,4095
549628,4095
549638,4095
549648,4095
549658,4095
549668,4095
549678,4095
549688,4095
549698,4095
549708,4095
549718,4095
549728,4095
549738,4095
549748,4095
549758,4095
549768,4095
549778,4095
549788,4095
549798,4095
549808,4095
549818,4095
549828,4095
549838,4095
549848,4095
549858,4095
549868,4095
549878,4095
549888,4095
549898,4095
549908,4095
549918,4095
549928,4095
549938,4095
549948,4095
549958,4095
549968,4095
549978,4095
549988,3568
549998,2978
550008,3037
550018,3105
550028,3193
550038,3242
550048,3269
550058,3286
550068,3312
550078,3343
550088,3376
550098,3424
550108,3469
550118,3521
550128,3572
550138,3583
550149,3609
550158,3613
550168,3630
550179,3658
550188,3664
550198,3664
550208,3685
550218,3696
550228,3689
550238,3699
550248,3710
550258,3729
550269,3728
550278,3743
550288,3760
550298,3780
550308,3814
550319,3835
550328,3871
550338,3881
550348,3895
550358,3916
550368,3872
550378,3777
550388,3648
550398,3583
550408,3559
550418,3760
550428,4047
550438,4095
550448,4095
550458,4095
550468,4095
550478,4095
550488,4095
550498,4095
550508,4095
550518,4095
550528,4095
550538,4095
550548,4095
550558,4095
550568,4095
550579,4095
550588,4095
550599,4095
