Timestamp,Force
5235984,0
5235994,0
5236007,0
5236015,0
5236024,0
5236034,0
5236044,0
5236054,0
5236064,0
5236074,0
5236084,0
5236094,0
5236104,0
5236114,0
5236124,0
5236134,0
5236144,0
5236154,0
5236164,0
5236174,0
5236184,0
5236194,0
5236204,0
5236214,0
5236224,0
5236234,0
5236244,0
5236254,0
5236264,0
5236274,0
5236284,0
5236294,0
5236304,0
5236314,0
5236324,0
5236334,0
5236344,0
5236354,0
5236364,0
5236374,0
5236384,0
5236394,0
5236404,0
5236414,0
5236424,0
5236434,0
5236444,0
5236454,0
5236464,0
5236474,0
5236484,0
5236494,0
5236504,0
5236514,0
5236524,0
5236534,0
5236544,0
5236554,0
5236564,0
5236574,0
5236584,0
5236594,0
5236604,0
5236614,0
5236624,0
5236634,0
5236644,0
5236654,0
5236664,0
5236674,0
5236684,0
5236694,0
5236704,0
5236714,0
5236724,0
5236734,0
5236744,0
5236754,0
5236764,0
5236774,0
5236784,0
5236794,0
5236804,0
5236814,0
5236824,0
5236834,0
5236844,2701
5236854,3033
5236864,3169
5236874,3293
5236884,3366
5236894,3408
5236904,3455
5236914,3497
5236924,3519
5236934,3533
5236944,3535
5236954,3552
5236964,3568
5236974,3569
5236984,3552
5236994,3555
5237004,3577
5237014,3582
5237024,3601
5237034,3599
5237044,3579
5237054,3606
5237064,3610
5237074,3634
5237084,3627
5237094,3646
5237104,3613
5237114,3632
5237124,3631
5237134,3648
5237144,3635
5237154,3622
5237164,3642
5237174,3659
5237184,3650
5237194,3619
5237204,3648
5237214,3633
5237224,3615
5237234,3632
5237244,3639
5237254,3629
5237264,3633
5237274,3648
5237284,3659
5237294,3632
5237304,3661
5237314,3648
5237324,3653
5237334,3634
5237344,3678
5237354,3648
5237364,3664
5237374,3650
5237384,3650
5237394,3642
5237404,3667
5237414,3677
5237424,3661
5237434,3664
5237444,3667
5237454,3681
5237464,3695
5237474,3674
5237484,3687
5237494,3663
5237504,3675
5237514,3675
5237524,3679
5237534,3682
5237544,3675
5237554,3687
5237564,3681
5237574,3667
5237584,3660
5237594,3675
5237604,3700
5237614,3674
5237624,3690
5237634,3675
5237644,3683
5237654,3670
5237664,3693
5237674,3677
5237684,3663
5237694,3687
5237704,3686
5237714,3683
5237724,3683
5237734,3692
5237744,3695
5237754,3696
5237764,3664
5237774,3689
5237784,3683
5237794,3681
5237804,3696
5237814,3696
5237824,3700
5237834,3709
5237844,3683
5237854,3685
5237864,3680
5237874,3678
5237884,3685
5237894,3685
5237904,3689
5237914,3706
5237924,3703
5237934,3679
5237944,3698
5237954,3693
5237964,3701
5237974,3664
5237984,3695
5237994,3697
5238004,3687
5238014,3702
5238024,3711
5238034,3696
5238044,3696
5238054,3696
5238064,3703
5238074,3703
5238084,3692
5238094,3682
5238104,3713
5238114,3697
5238124,3689
5238134,3703
5238144,3703
5238154,3703
5238164,3699
5238174,3716
5238184,3703
5238194,3725
5238204,3703
5238214,3693
5238224,3697
5238234,3698
5238244,3717
5238254,3696
5238264,3726
5238274,3726
5238284,3706
5238294,3701
5238304,3699
5238314,3712
5238324,3714
5238334,3719
5238344,3723
5238354,3701
5238364,3712
5238374,3723
5238384,3719
5238394,3703
5238404,3697
5238414,3737
5238424,3715
5238434,3727
5238444,3721
5238454,3728
5238464,3728
5238474,3722
5238484,3707
5238494,3722
5238504,3735
5238514,3742
5238524,3710
5238534,3722
5238544,3728
5238554,3747
5238564,3741
5238574,3727
5238584,3745
5238594,3725
5238604,3726
5238614,3718
5238624,3739
5238634,3729
5238644,3735
5238654,3737
5238664,3723
5238674,3717
5238684,3730
5238694,3727
5238704,3725
5238714,3730
5238724,3727
5238734,3729
5238744,3727
5238754,3744
5238764,3744
5238774,3730
5238784,3759
5238794,3733
5238804,3744
5238814,3726
5238824,3741
5238834,3733
5238844,3746
5238854,3740
5238864,3741
5238874,3742
5238884,3732
5238894,3738
5238904,3743
5238914,3725
5238924,3758
5238934,3730
