Time,Force_Foot1,Force_Foot2
0,4095,0
10,4095,0
20,4095,0
30,4095,0
40,4095,0
50,4095,0
60,4095,0
70,4095,0
80,4095,0
90,4095,0
100,4095,0
110,4095,0
120,4095,0
130,0,4095
140,0,4095
150,0,4095
160,0,4095
170,0,4095
180,0,4095
190,0,4095
200,0,4095
210,0,4095
220,0,4095
230,0,4095
240,0,4095
250,0,0
260,0,0
270,0,0
280,0,0
290,0,0
300,0,0
310,0,0
320,0,0
330,0,0
340,0,0
350,0,0
360,0,0
370,0,0
380,0,0
390,0,0
400,0,0
410,0,0
420,0,0
430,0,0
440,0,0
450,0,0
460,0,0
470,0,0
480,0,0
490,0,0
500,0,0
510,0,0
520,0,0
530,0,0
540,0,0
550,0,0
560,0,0
570,0,0
580,0,0
590,0,0
600,0,0
610,0,0
620,0,0
630,0,0
640,0,0
650,0,0
660,0,0
670,0,0
680,4095,0
690,4095,0
700,4095,0
710,4095,0
720,4095,0
730,4095,0
740,4095,0
750,4095,0
760,4095,0
770,4095,0
780,4095,0
790,4095,0
800,0,4095
810,0,4095
820,0,4095
830,0,4095
840,0,4095
850,0,4095
860,0,4095
870,0,4095
880,0,4095
890,0,4095
900,0,4095
910,0,4095
920,0,0
930,0,0
940,0,0
950,0,0
960,0,0
970,0,0
980,0,0
990,0,0
1000,0,0
1010,0,0
1020,0,0
1030,0,0
1040,0,0
1050,0,0
1060,0,0
1070,0,0
1080,0,0
1090,0,0
1100,0,0
1110,0,0
1120,0,0
1130,0,0
1140,0,0
1150,0,0
1160,0,0
1170,0,0
1180,0,0
1190,0,0
1200,0,0
1210,0,0
1220,0,0
1230,0,0
1240,0,0
1250,0,0
1260,0,0
1270,0,0
1280,0,0
1290,0,0
1300,0,0
1310,0,0
1320,0,0
1330,0,0
1340,4095,0
1350,4095,0
1360,4095,0
1370,4095,0
1380,4095,0
1390,4095,0
1400,4095,0
1410,4095,0
1420,4095,0
1430,4095,0
1440,4095,0
1450,4095,0
1460,0,4095
1470,0,4095
1480,0,4095
1490,0,4095
1500,0,4095
1510,0,4095
1520,0,4095
1530,0,4095
1540,0,4095
1550,0,4095
1560,0,4095
1570,0,4095
1580,0,0
1590,0,0
1600,0,0
1610,0,0
1620,0,0
1630,0,0
1640,0,0
1650,0,0
1660,0,0
1670,0,0
1680,0,0
1690,0,0
1700,0,0
1710,0,0
1720,0,0
1730,0,0
1740,0,0
1750,0,0
1760,0,0
1770,0,0
1780,0,0
1790,0,0
1800,0,0
1810,0,0
1820,0,0
1830,0,0
1840,0,0
1850,0,0
1860,0,0
1870,0,0
1880,0,0
1890,0,0
1900,0,0
1910,0,0
1920,0,0
1930,0,0
1940,0,0
1950,0,0
1960,0,0
1970,0,0
1980,0,0
1990,0,0
2000,4095,0
2010,4095,0
2020,4095,0
2030,4095,0
2040,4095,0
2050,4095,0
2060,4095,0
2070,4095,0
2080,4095,0
2090,4095,0
2100,4095,0
2110,0,4095
2120,0,4095
2130,0,4095
2140,0,4095
2150,0,4095
2160,0,4095
2170,0,4095
2180,0,4095
2190,0,4095
2200,0,4095
2210,0,4095
2220,0,4095
2230,0,0
2240,0,0
2250,0,0
2260,0,0
2270,0,0
2280,0,0
2290,0,0
2300,0,0
2310,0,0
2320,0,0
2330,0,0
