stride_num,foot,ic_time,to_time,next_ic_time,gct_ms,flight_ms,step_time_ms
1,right,0,1969,2699,1969,730,2699
1,left,2029,2639,4389,610,1750,2360
2,right,2699,4329,4539,1630,210,1840
2,left,4389,4479,4969,90,490,580
3,right,4539,4909,5109,370,200,570
3,left,4969,5049,5549,80,500,580
4,right,5109,5489,5699,380,210,590
4,left,5549,5639,6069,90,430,520
5,right,5699,5999,6279,300,280,580
5,left,6069,6219,6649,150,430,580
6,right,6279,6589,6869,310,280,590
6,left,6649,6809,7309,160,500,660
7,right,6869,7249,7459,380,210,590
7,left,7309,7399,7839,90,440,530
8,right,7459,7779,8049,320,270,590
8,left,7839,7989,8419,150,430,580
9,right,8049,8359,8639,310,280,590
9,left,8419,8579,9009,160,430,590
10,right,8639,8949,9229,310,280,590
10,left,9009,9169,9589,160,420,580
11,right,9229,9529,9819,300,290,590
11,left,9589,9759,10179,170,420,590
12,right,9819,10119,10399,300,280,580
12,left,10179,10339,10749,160,410,570
13,right,10399,10689,10979,290,290,580
13,left,10749,10919,11329,170,410,580
14,right,10979,11269,11579,290,310,600
14,left,11329,11519,11939,190,420,610
15,right,11579,11879,12159,300,280,580
15,left,11939,12099,12519,160,420,580
16,right,12159,12459,12749,300,290,590
16,left,12519,12689,13099,170,410,580
17,right,12749,13039,13339,290,300,590
17,left,13099,13279,13699,180,420,600
18,right,13339,13639,13939,300,300,600
18,left,13699,13879,14289,180,410,590
19,right,13939,14229,14559,290,330,620
19,left,14289,14499,14869,210,370,580
20,right,14559,14809,15109,250,300,550
20,left,14869,15049,15449,180,400,580
21,right,15109,15389,15689,280,300,580
21,left,15449,15629,16059,180,430,610
22,right,15689,15999,16279,310,280,590
22,left,16059,16219,16639,160,420,580
23,right,16279,16579,16879,300,300,600
23,left,16639,16819,17259,180,440,620
24,right,16879,17199,17479,320,280,600
24,left,17259,17419,18319,160,900,1060
25,right,17479,18259,19179,780,920,1700
25,left,18319,19119,19329,800,210,1010
