Time,Force_Foot1,Force_Foot2
0,4095,0
10,4095,0
20,4095,0
30,4095,0
40,4095,0
50,4095,0
60,4095,0
70,4095,0
80,4095,0
90,4095,0
100,4095,0
110,4095,0
120,4095,0
130,4095,0
140,4095,0
150,4095,0
160,4095,0
170,4095,0
180,4095,0
190,4095,0
200,0,0
210,0,0
220,0,0
230,0,0
240,0,0
250,0,0
260,0,0
270,0,0
280,0,0
290,0,0
300,0,0
310,0,0
320,0,0
330,0,0
340,0,0
350,0,0
360,0,4095
370,0,4095
380,0,4095
390,0,4095
400,0,4095
410,0,4095
420,0,4095
430,0,4095
440,0,4095
450,0,4095
460,0,4095
470,0,4095
480,0,4095
490,0,4095
500,0,4095
510,0,4095
520,0,4095
530,0,4095
540,0,4095
550,0,0
560,0,0
570,0,0
580,0,0
590,0,0
600,0,0
610,0,0
620,0,0
630,0,0
640,0,0
650,0,0
660,0,0
670,0,0
680,0,0
690,0,0
700,0,0
710,0,0
720,0,0
730,4095,0
740,4095,0
750,4095,0
760,4095,0
770,4095,0
780,4095,0
790,4095,0
800,4095,0
810,4095,0
820,4095,0
830,4095,0
840,4095,0
850,4095,0
860,4095,0
870,4095,0
880,4095,0
890,4095,0
900,4095,0
910,0,0
920,0,0
930,0,0
940,0,0
950,0,0
960,0,0
970,0,0
980,0,0
990,0,0
1000,0,0
1010,0,0
1020,0,0
1030,0,0
1040,0,0
1050,0,0
1060,0,0
1070,0,0
1080,0,0
1090,0,0
1100,0,0
1110,0,4095
1120,0,4095
1130,0,4095
1140,0,4095
1150,0,4095
1160,0,4095
1170,0,4095
1180,0,4095
1190,0,4095
1200,0,4095
1210,0,4095
1220,0,4095
1230,0,4095
1240,0,4095
1250,0,4095
1260,0,4095
1270,0,4095
1280,0,0
1290,0,0
1300,0,0
1310,0,0
1320,0,0
1330,0,0
1340,0,0
1350,0,0
1360,0,0
1370,0,0
1380,0,0
1390,0,0
1400,0,0
1410,0,0
1420,0,0
1430,0,0
1440,0,0
1450,0,0
1460,0,0
1470,0,0
1480,0,0
1490,0,0
1500,4095,0
1510,4095,0
1520,4095,0
1530,4095,0
1540,4095,0
1550,4095,0
1560,4095,0
1570,4095,0
1580,4095,0
1590,4095,0
1600,4095,0
1610,4095,0
1620,4095,0
1630,4095,0
1640,4095,0
1650,4095,0
1660,0,0
1670,0,0
1680,0,0
1690,0,0
1700,0,0
1710,0,0
1720,0,0
1730,0,0
1740,0,0
1750,0,0
1760,0,0
1770,0,0
1780,0,0
1790,0,0
1800,0,0
1810,0,0
1820,0,0
1830,0,0
1840,0,0
1850,0,0
1860,0,0
1870,0,0
1880,0,0
1890,0,0
1900,0,4095
1910,0,4095
1920,0,4095
1930,0,4095
1940,0,4095
1950,0,4095
1960,0,4095
1970,0,4095
1980,0,4095
1990,0,4095
2000,0,4095
2010,0,4095
2020,0,4095
2030,0,4095
2040,0,0
2050,0,0
2060,0,0
2070,0,0
2080,0,0
2090,0,0
2100,0,0
2110,0,0
2120,0,0
2130,0,0
2140,0,0
2150,0,0
2160,0,0
2170,0,0
2180,0,0
2190,0,0
2200,0,0
2210,0,0
2220,0,0
2230,0,0
2240,0,0
2250,0,0
2260,0,0
2270,0,0
2280,0,0
2290,0,0
2300,4095,0
2310,4095,0
