Time,Force_Foot1,Force_Foot2
4962694,0,0
4962704,0,0
4962714,0,0
4962724,0,0
4962734,0,0
4962744,0,0
4962754,0,0
4962764,0,0
4962775,0,0
4962784,0,0
4962795,0,0
4962804,0,0
4962814,0,0
4962824,0,0
4962834,0,0
4962844,0,0
4962854,0,0
4962864,0,0
4962874,0,0
4962884,0,0
4962894,0,0
4962904,0,0
4962914,0,0
4962924,0,0
4962934,0,0
4962944,0,0
4962954,0,0
4962964,0,0
4962974,0,0
4962984,0,0
4962994,0,0
4963004,0,0
4963014,0,0
4963024,0,0
4963034,0,0
4963044,0,0
4963054,0,0
4963064,0,0
4963074,0,0
4963084,0,0
4963094,0,0
4963104,0,0
4963114,0,0
4963124,0,0
4963134,0,0
4963144,0,0
4963154,0,0
4963164,0,0
4963174,0,0
4963184,0,0
4963194,0,0
4963204,0,0
4963214,0,0
4963224,0,0
4963234,0,0
4963244,0,0
4963254,0,0
4963264,0,0
4963274,0,0
4963284,0,0
4963294,0,0
4963304,0,0
4963314,0,0
4963324,0,0
4963334,0,0
4963344,0,0
4963354,0,0
4963364,0,0
4963374,0,0
4963384,0,0
4963394,0,0
4963404,0,0
4963414,0,0
4963424,0,0
4963434,0,0
4963444,0,0
4963454,0,0
4963464,0,0
4963474,0,0
4963484,0,0
4963494,0,0
4963504,0,0
4963514,0,0
4963524,0,0
4963534,0,0
4963544,0,0
4963554,0,0
4963564,0,0
4963574,0,0
4963584,0,0
4963594,0,0
4963604,0,0
4963614,0,0
4963624,0,0
4963634,0,0
4963644,0,0
4963654,0,0
4963664,0,0
4963674,0,0
4963684,0,0
4963694,0,0
4963704,0,0
4963714,0,0
4963724,0,0
4963734,0,0
4963744,0,0
4963754,0,0
4963764,0,0
4963774,0,0
4963784,0,0
4963794,0,0
4963804,0,0
4963814,0,0
4963824,0,0
4963834,0,0
4963844,0,0
4963854,0,0
4963864,0,0
4963874,0,0
4963884,0,0
4963894,0,0
4963904,0,0
4963914,0,0
4963924,0,0
4963934,3724,0
4963944,3419,0
4963954,3716,0
4963964,3830,0
4963974,3876,0
4963984,3879,0
4963994,3888,0
4964004,3887,0
4964014,3839,0
4964024,3744,0
4964034,3576,0
4964044,3205,0
4964054,2551,0
4964064,696,0
4964074,0,0
4964084,0,0
4964094,0,0
4964104,0,3735
4964114,0,3413
4964124,0,3721
4964134,0,3822
4964144,0,3872
4964154,0,3890
4964164,0,3884
4964174,0,3886
4964184,0,3846
4964194,0,3756
4964204,0,3587
4964214,0,3197
4964224,0,2560
4964234,0,707
4964244,0,0
4964254,0,0
4964264,0,0
4964274,0,0
4964284,0,0
4964294,0,0
4964304,0,0
4964314,0,0
4964324,0,0
4964334,0,0
4964344,0,0
4964354,0,0
4964364,3695,0
4964374,3439,0
4964384,3709,0
4964394,3849,0
4964404,3891,0
4964414,3897,0
4964424,3926,0
4964434,3893,0
4964444,3863,0
4964454,3793,0
4964464,3653,0
4964474,3335,0
4964484,2542,0
4964494,674,0
4964504,0,0
4964514,0,0
4964524,0,0
4964534,0,3688
4964544,0,3450
4964554,0,3706
4964564,0,3858
4964574,0,3885
4964584,0,3889
4964594,0,3926
4964604,0,3888
4964614,0,3857
4964624,0,3789
4964634,0,3659
4964644,0,3336
4964654,0,2539
4964664,0,0
4964674,0,0
4964684,0,0
4964694,2999,0
4964704,3240,0
4964714,3669,0
4964724,3824,0
4964734,3885,0
4964744,3890,0
4964754,3896,0
4964764,3863,0
4964774,3815,0
4964784,3757,0
4964794,3484,0
4964804,3015,0
4964814,1433,0
4964824,0,0
4964834,0,0
4964844,0,0
4964854,0,2990
4964864,0,3233
4964874,0,3673
4964884,0,3823
4964894,0,3878
4964904,0,3895
4964914,0,3903
4964924,0,3865
4964934,0,3816
4964944,0,3748
4964954,0,3496
4964964,0,3016
4964974,0,1429
4964984,0,0
4964994,0,0
4965004,0,0
4965014,0,0
4965024,0,0
4965034,3551,0
4965044,3614,0
4965054,3846,0
4965064,3937,0
4965074,3921,0
4965084,3984,0
4965094,3930,0
4965104,3864,0
4965114,3766,0
4965124,3604,0
4965134,3194,0
4965144,1524,0
4965154,0,0
4965164,0,0
4965174,0,0
4965184,0,3541
4965194,0,3617
4965204,0,3847
4965214,0,3938
4965224,0,3910
4965234,0,3986
4965244,0,3929
4965254,0,3875
4965264,0,3754
4965274,0,3595
4965284,0,3190
4965294,0,1527
4965304,0,0
4965314,0,0
4965324,0,0
4965334,0,0
4965344,0,0
4965354,0,0
4965364,0,0
4965374,0,0
4965384,0,0
4965394,0,0
4965404,0,0
4965414,0,0
4965424,0,0
4965434,0,0
4965444,0,0
4965454,0,0
4965464,0,0
4965474,0,0
4965484,0,0
4965494,0,0
4965504,0,0
4965514,0,0
4965524,0,0
4965534,0,0
4965544,0,0
4965554,0,0
4965564,0,0
4965574,0,0
4965584,0,0
4965594,0,0
4965604,0,0
4965614,0,0
4965624,0,0
4965634,0,0
4965644,0,0
4965654,0,0
4965664,0,0
4965674,0,0
4965684,0,0
4965694,0,0
4965704,0,0
4965714,0,0
4965724,0,0
4965734,0,0
4965744,0,0
4965754,0,0
4965764,0,0
4965774,0,0
4965784,0,0
4965794,0,0
4965804,0,0
4965814,0,0
4965824,0,0
4965834,0,0
4965844,0,0
4965854,0,0
4965864,0,0
4965874,0,0
4965884,0,0
4965894,0,0
4965904,0,0
4965914,0,0
4965924,0,0
4965934,0,0
4965944,0,0
4965954,0,0
4965964,0,0
4965974,0,0
4965984,0,0
4965994,0,0
4966004,0,0
4966014,0,0
4966024,0,0
4966034,0,0
4966044,0,0
4966054,0,0
4966064,0,0
4966074,0,0
4966084,0,0
4966094,0,0
4966104,0,0
4966114,0,0
4966124,0,0
4966134,0,0
4966144,0,0
4966154,0,0
4966164,0,0
4966174,0,0
4966184,0,0
4966194,0,0
4966204,0,0
4966214,0,0
4966224,0,0
4966234,0,0
4966244,0,0
4966254,0,0
4966264,0,0
4966274,0,0
4966284,0,0
4966294,0,0
4966304,0,0
4966314,0,0
4966324,0,0
4966334,0,0
4966344,0,0
4966354,0,0
4966364,0,0
4966374,0,0
4966384,0,0
4966394,0,0
4966404,0,0
4966414,0,0
4966424,0,0
4966434,0,0
4966444,0,0
4966454,0,0
4966464,0,0
4966474,0,0
4966484,0,0
4966494,0,0
4966504,0,0
4966514,0,0
4966524,0,0
4966534,0,0
4966544,0,0
4966554,3952,0
4966564,3421,0
4966574,3729,0
4966584,3794,0
4966594,3899,0
4966604,3942,0
4966614,3882,0
