start_time,end_time,total_time,foot
5039364,5040774,1410,Left
5039364,5040894,1530,Right
5040864,5041034,170,Left
5040984,5041174,190,Right
5041144,5041314,170,Left
5041284,5041454,170,Right
5041424,5041614,190,Left
5041564,5041764,200,Right
5041734,5041914,180,Left
5041884,5042064,180,Right
5042034,5043324,1290,Left
5042184,5043444,1260,Right
5043414,5043604,190,Left
5043534,5043764,230,Right
5043734,5044994,1260,Left
5043894,5045134,1240,Right
5045104,5045274,170,Left
5045244,5045434,190,Right
5045404,5046864,1460,Left
5045564,5046994,1430,Right
5046964,5047174,210,Left
5047094,5047334,240,Right
5047304,5048784,1480,Left
5047464,5048934,1470,Right
5048904,5049104,200,Left
5049054,5049264,210,Right
5049234,5050394,1160,Left
5049394,5050534,1140,Right
5050504,5051644,1140,Left
5050644,5051644,1000,Right
