start_time,end_time,total_time,foot
5235984,5236844,860,Left
5235984,5239274,3290,Right
5239244,5239434,190,Left
5239404,5239544,140,Right
5239514,5239664,150,Left
5239624,5239774,150,Right
5239744,5239884,140,Left
5239854,5239994,140,Right
5239964,5240104,140,Left
5240074,5240214,140,Right
5240184,5240324,140,Left
5240294,5240434,140,Right
5240404,5240554,150,Left
5240514,5240654,140,Right
5240624,5240784,160,Left
5240724,5240904,180,Right
5240874,5241014,140,Left
5240984,5241134,150,Right
5241104,5241254,150,Left
5241224,5241364,140,Right
5241334,5241484,150,Left
5241444,5241594,150,Right
5241564,5241714,150,Left
5241674,5241824,150,Right
5241794,5241944,150,Left
5241904,5242064,160,Right
5242034,5242174,140,Left
5242144,5242284,140,Right
5242254,5242404,150,Left
5242364,5242514,150,Right
5242484,5242644,160,Left
5242594,5242754,160,Right
5242724,5242874,150,Left
5242834,5242984,150,Right
5242954,5243114,160,Left
5243064,5243214,150,Right
5243184,5243364,180,Left
5243284,5243464,180,Right
5243434,5243714,280,Left
5243534,5243814,280,Right
5243784,5244024,240,Left
5243884,5244144,260,Right
5244114,5244314,200,Left
5244234,5244454,220,Right
5244424,5244564,140,Left
5244534,5244704,170,Right
5244674,5244814,140,Left
5244784,5244934,150,Right
5244904,5245034,130,Left
5245004,5245344,340,Right
5245314,5246404,1090,Left
5245624,5246404,780,Right
