Time,Force_Foot1,Force_Foot2
0,4095,0
10,4095,0
20,4095,0
30,4095,0
40,4095,0
50,4095,0
60,4095,0
70,4095,0
80,4095,0
90,4095,0
100,4095,0
110,4095,0
120,4095,0
130,0,0
140,0,0
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
210,0,0
220,0,0
230,0,0
240,0,0
250,0,0
260,0,0
270,0,4095
280,0,4095
290,0,4095
300,0,4095
310,0,4095
320,0,4095
330,0,4095
340,0,4095
350,0,4095
360,0,4095
370,0,4095
380,0,0
390,0,0
400,0,0
410,0,0
420,0,0
430,0,0
440,0,0
450,0,0
460,0,0
470,0,0
480,0,0
490,0,0
500,0,0
510,0,0
520,0,0
530,0,0
540,4095,0
550,4095,0
560,4095,0
570,4095,0
580,4095,0
590,4095,0
600,4095,0
610,4095,0
620,4095,0
630,4095,0
640,4095,0
650,0,0
660,0,0
670,0,0
680,0,0
690,0,0
700,0,0
710,0,0
720,0,0
730,0,0
740,0,0
750,0,0
760,0,0
770,0,0
780,0,0
790,0,0
800,0,4095
810,0,4095
820,0,4095
830,0,4095
840,0,4095
850,0,4095
860,0,4095
870,0,4095
880,0,4095
890,0,4095
900,0,4095
910,0,0
920,0,0
930,0,0
940,0,0
950,0,0
960,0,0
970,0,0
980,0,0
990,0,0
1000,0,0
1010,0,0
1020,0,0
1030,0,0
1040,0,0
1050,4095,0
1060,4095,0
1070,4095,0
1080,4095,0
1090,4095,0
1100,4095,0
1110,4095,0
1120,4095,0
1130,4095,0
1140,4095,0
1150,4095,0
1160,4095,0
1170,0,0
1180,0,0
1190,0,0
1200,0,0
1210,0,0
1220,0,0
1230,0,0
1240,0,0
1250,0,0
1260,0,0
1270,0,0
1280,0,0
1290,0,0
1300,0,0
1310,0,0
1320,0,0
1330,0,0
1340,0,4095
1350,0,4095
1360,0,4095
1370,0,4095
1380,0,4095
1390,0,4095
1400,0,4095
1410,0,4095
1420,0,4095
1430,0,4095
1440,0,0
1450,0,0
1460,0,0
1470,0,0
1480,0,0
1490,0,0
1500,0,0
1510,0,0
1520,0,0
1530,0,0
1540,0,0
1550,0,0
1560,0,0
1570,0,0
1580,0,0
1590,0,0
1600,0,0
1610,4095,0
1620,4095,0
1630,4095,0
1640,4095,0
1650,4095,0
1660,4095,0
1670,4095,0
1680,4095,0
1690,4095,0
1700,4095,0
1710,4095,0
1720,0,0
1730,0,0
1740,0,0
1750,0,0
1760,0,0
1770,0,0
1780,0,0
1790,0,0
1800,0,0
1810,0,0
1820,0,0
1830,0,0
1840,0,0
1850,0,4095
1860,0,4095
1870,0,4095
1880,0,4095
1890,0,4095
1900,0,4095
1910,0,4095
1920,0,4095
1930,0,4095
1940,0,4095
1950,0,0
1960,0,0
1970,0,0
1980,0,0
1990,0,0
2000,0,0
2010,0,0
2020,0,0
2030,0,0
2040,0,0
2050,0,0
2060,0,0
2070,0,0
2080,4095,0
2090,4095,0
2100,4095,0
2110,4095,0
2120,4095,0
2130,4095,0
2140,4095,0
2150,4095,0
2160,4095,0
2170,4095,0
2180,0,0
2190,0,0
2200,0,0
2210,0,0
2220,0,0
2230,0,0
2240,0,0
2250,0,0
2260,0,0
2270,0,0
2280,0,0
2290,0,0
2300,0,0
2310,0,0
2320,0,4095
