stride_num,foot,ic_time,to_time,next_ic_time,gct_ms,flight_ms,step_time_ms
1,left,0,130,540,130,410,540
1,right,270,380,800,110,420,530
2,left,540,650,1050,110,400,510
2,right,800,910,1340,110,430,540
3,left,1050,1170,1610,120,440,560
3,right,1340,1440,1850,100,410,510
4,left,1610,1720,2080,110,360,470
4,right,1850,1950,2320,100,370,470
5,left,2080,2180,2790,100,610,710
5,right,2320,2440,2990,120,550,670
6,left,2790,2890,3240,100,350,450
6,right,2990,3080,3470,90,390,480
7,left,3240,3340,3930,100,590,690
7,right,3470,3580,4100,110,520,630
8,left,3930,4040,4340,110,300,410
8,right,4100,4190,4580,90,390,480
9,left,4340,4440,5000,100,560,660
9,right,4580,4680,5170,100,490,590
10,left,5000,5110,5410,110,300,410
10,right,5170,5260,5640,90,380,470
11,left,5410,5500,6100,90,600,690
11,right,5640,5750,6270,110,520,630
12,left,6100,6210,6530,110,320,430
12,right,6270,6380,6760,110,380,490
13,left,6530,6640,7180,110,540,650
13,right,6760,6870,7380,110,510,620
14,left,7180,7300,7650,120,350,470
14,right,7380,7490,7910,110,420,530
15,left,7650,7750,8320,100,570,670
15,right,7910,8010,8490,100,480,580
16,left,8320,8420,8710,100,290,390
16,right,8490,8590,8920,100,330,430
17,left,8710,8800,9360,90,560,650
17,right,8920,9030,9550,110,520,630
18,left,9360,9470,9780,110,310,420
18,right,9550,9640,10010,90,370,460
19,left,9780,9880,10460,100,580,680
19,right,10010,10130,10640,120,510,630
20,left,10460,10580,10880,120,300,420
20,right,10640,10750,11120,110,370,480
21,left,10880,10990,11560,110,570,680
21,right,11120,11220,11750,100,530,630
22,left,11560,11670,12020,110,350,460
22,right,11750,11860,12250,110,390,500
23,left,12020,12110,12670,90,560,650
23,right,12250,12350,12830,100,480,580
24,left,12670,12770,13110,100,340,440
24,right,12830,12930,13420,100,490,590
25,left,13110,13200,13730,90,530,620
25,right,13420,13510,14040,90,530,620
26,left,13730,13840,14320,110,480,590
