start_time,end_time,total_time,foot
1202964,1205244,2280,Left
1205274,1205304,30,Right
1205334,1205484,150,Left
1205514,1205624,110,Right
1205654,1206175,521,Left
1206204,1211044,4840,Right
1211074,1212164,1090,Left
1212194,1212974,780,Right
1213004,1213284,280,Left
1213314,1213424,110,Right
1213454,1213784,330,Left
1213814,1213934,120,Right
1213964,1214194,230,Left
1214224,1214474,250,Right
1214504,1214714,210,Left
1214744,1215004,260,Right
1215034,1215244,210,Left
1215274,1215524,250,Right
1215554,1215734,180,Left
1215764,1216054,290,Right
1216084,1216294,210,Left
1216324,1216584,260,Right
1216614,1216834,220,Left
1216864,1217114,250,Right
1217144,1217344,200,Left
1217374,1217634,260,Right
1217664,1217854,190,Left
1217884,1218154,270,Right
1218184,1218384,200,Left
1218414,1218734,320,Right
1218764,1218904,140,Left
1218934,1219264,330,Right
1219294,1219444,150,Left
1219474,1219784,310,Right
1219814,1219994,180,Left
1220024,1220304,280,Right
1220334,1220514,180,Left
1220544,1220844,300,Right
1220874,1221034,160,Left
1221064,1221364,300,Right
1221394,1221524,130,Left
1221554,1221914,360,Right
1221944,1222104,160,Left
1222134,1222144,10,Right
1222174,1222284,110,Left
1222314,1225304,2990,Right
