Timestamp,Force
1781798,4095
1781808,4095
1781819,4095
1781828,4095
1781838,4095
1781848,4095
1781858,4095
1781868,4095
1781878,4095
1781888,4095
1781898,4095
1781908,4095
1781918,4095
1781928,4095
1781938,4095
1781948,4095
1781958,4095
1781968,4095
1781978,4095
1781988,4095
1781998,4095
1782008,4095
1782018,4095
1782028,4095
1782038,4095
1782048,4095
1782058,4095
1782068,4095
1782078,4095
1782088,4095
1782098,4095
1782108,4095
1782118,4095
1782128,4095
1782138,4095
1782148,4095
1782158,4095
1782168,4095
1782178,4095
1782188,4095
1782198,4095
1782208,4095
1782218,4095
1782228,4095
1782238,4095
1782248,4095
1782258,4095
1782268,4095
1782278,4095
1782288,4095
1782298,4095
1782308,4095
1782318,4095
1782328,4095
1782338,4095
1782348,4095
1782358,4095
1782368,4095
1782378,4095
1782388,4095
1782399,4095
1782408,4095
1782418,4095
1782428,4095
1782438,4095
1782448,4095
1782458,4095
1782468,4095
1782478,4095
1782488,4095
1782498,4095
1782508,4095
1782518,4095
1782528,4095
1782538,4095
1782548,4095
1782558,4095
1782568,4095
1782578,4095
1782588,4095
1782598,4095
1782608,4095
1782618,4095
1782628,4095
1782638,4095
1782648,4095
1782658,3280
1782668,2100
1782678,2189
1782688,2910
1782698,3205
1782708,3183
1782718,3182
1782728,3280
1782738,3360
1782748,3376
1782758,3355
1782768,3344
1782778,3347
1782788,3351
1782798,3408
1782808,3421
1782818,3455
1782828,3504
1782838,3567
1782848,3632
1782858,3683
1782868,3725
1782878,3753
1782888,3778
1782898,3795
1782908,3814
1782918,3842
1782928,3859
1782938,3883
1782948,3907
1782958,3962
1782968,4035
1782978,4080
1782988,4095
1782998,4095
1783008,4095
1783018,0
1783028,4095
1783038,4095
1783048,4095
1783058,4095
1783068,4095
1783078,4095
1783088,4095
1783098,4095
1783108,4095
1783118,4095
1783128,4095
1783138,4095
1783148,4095
1783158,4095
1783168,4095
1783178,3495
1783188,3342
1783198,3162
1783208,3117
1783218,2611
1783228,2262
1783238,2199
1783248,2455
1783258,2703
1783268,2867
1783278,2975
1783288,3071
1783298,3191
1783308,3332
1783318,3408
1783328,3458
1783338,3499
1783348,3565
1783358,3633
1783368,3649
1783378,3678
1783388,3686
1783398,3693
1783408,3726
1783418,3792
1783428,3851
1783438,3862
1783448,3906
1783458,3974
1783468,4015
1783478,4016
1783488,4035
1783498,4048
1783508,4065
1783518,4095
1783528,4095
1783538,0
1783548,4095
1783558,4095
1783568,4095
1783578,4095
1783588,4095
1783598,4095
1783608,4095
1783618,4095
1783628,4095
1783638,4095
1783648,4095
1783658,4095
1783668,4095
1783678,4095
1783688,3382
1783698,3171
1783708,3311
1783718,3153
1783728,2598
1783738,2459
1783748,2627
1783758,2672
1783768,2651
1783778,2662
1783788,2704
1783798,2706
1783808,2547
1783818,2359
1783828,2381
1783838,2384
1783848,2384
1783858,2357
1783868,2338
1783878,2355
1783888,2355
1783898,2481
1783908,2768
1783918,3008
1783928,3114
1783938,3279
1783948,3505
1783958,3676
1783968,3796
1783978,3877
1783988,3936
1783998,3950
1784008,3920
1784018,3889
1784028,3856
1784038,3778
1784048,3689
1784058,3583
1784068,3461
1784078,3357
1784088,3316
1784098,3326
1784108,3351
1784118,3370
1784128,3347
1784138,3333
1784148,3382
1784158,3451
1784168,3493
1784178,3582
1784188,3728
1784198,3824
1784208,3949
1784218,4055
1784228,4095
1784238,4095
1784248,4095
1784258,0
1784268,4095
1784278,4095
1784288,4095
1784298,4095
1784308,4095
1784318,4095
1784328,4095
1784338,4095
1784348,3571
1784358,3363
1784368,3153
1784378,3376
1784388,3319
1784398,3091
1784408,2971
1784418,3002
1784428,3094
1784438,3226
1784448,3323
1784458,3389
1784468,3461
1784478,3565
1784488,3664
1784498,3722
1784508,3723
1784518,3718
1784528,3675
1784538,3628
1784548,3697
1784558,3888
1784568,3965
1784578,3995
1784588,4067
1784598,4095
1784608,4095
1784618,4095
1784628,4095
1784638,4095
1784648,4095
1784658,4094
1784668,4095
1784678,0
1784688,0
1784698,4095
1784708,4095
1784718,4003
1784728,4095
1784738,4095
1784748,4095
1784758,4095
1784768,4095
1784778,4095
1784788,4095
1784798,4095
1784808,4095
1784818,3653
1784828,2861
1784838,2798
1784848,3348
1784858,3302
1784868,2827
1784878,2753
1784888,2933
1784898,2994
1784908,2819
1784918,2468
1784928,2366
1784938,2390
1784948,2225
1784958,2210
1784968,2096
1784978,2005
1784988,1891
1784998,1840
1785008,1799
1785018,2010
1785028,2229
1785038,2537
1785048,2806
1785058,3050
1785068,3222
1785078,3487
1785088,3681
1785098,3794
1785108,3873
1785118,3891
1785128,3896
1785138,3888
1785148,3879
1785158,3834
1785168,3707
1785178,3518
1785188,3339
1785198,3216
1785208,3088
1785218,3057
1785228,3057
1785238,3069
1785248,3088
1785258,3070
1785268,3095
1785278,3167
1785288,3207
1785298,3259
1785308,3259
1785318,3312
1785328,3395
1785338,3546
1785348,3715
1785358,3841
1785368,3920
1785378,4095
