Timestamp,Force
1405798,4095
1405808,4095
1405818,4095
1405828,4095
1405838,4095
1405848,4095
1405858,4095
1405868,4095
1405878,4095
1405888,4095
1405898,4095
1405908,4095
1405918,4095
1405928,4095
1405938,4095
1405948,4095
1405958,4095
1405968,4095
1405978,4095
1405989,4095
1405998,4095
1406008,4095
1406018,4095
1406028,4095
1406038,4095
1406048,4095
1406058,4095
1406068,4095
1406078,4095
1406088,4095
1406098,4095
1406108,4095
1406118,4095
1406128,4095
1406138,4095
1406148,4095
1406158,4095
1406168,4095
1406178,4095
1406188,4095
1406198,4095
1406208,4095
1406218,4095
1406228,4095
1406238,4095
1406248,4095
1406258,4095
1406268,4095
1406278,4095
1406288,4095
1406298,4095
1406308,4095
1406318,4095
1406328,4095
1406338,4095
1406348,4075
1406358,3967
1406368,3871
1406378,3829
1406388,3818
1406398,3837
1406408,3857
1406418,3915
1406428,3968
1406438,4004
1406448,4034
1406458,4059
1406468,4081
1406478,4095
1406488,4095
1406498,4095
1406508,4095
1406518,4095
1406528,4095
1406538,4095
1406548,4095
1406558,4095
1406568,4095
1406578,4095
1406588,4095
1406598,4095
1406608,4095
1406618,4095
1406628,4095
1406638,4095
1406648,4095
1406658,4095
1406668,4095
1406678,4095
1406688,4095
1406698,4095
1406708,4095
1406718,4095
1406728,4095
1406738,4095
1406748,4095
1406758,4095
1406768,4095
1406778,4095
1406788,4095
1406798,4095
1406808,4095
1406818,4095
1406828,4095
1406838,4095
1406848,4095
1406858,4095
1406868,4095
1406878,4095
1406888,4095
1406898,4095
1406908,4095
1406918,4095
1406928,4095
1406938,4095
1406948,4095
1406958,4095
1406968,4095
1406978,4095
1406988,4095
1406998,4095
1407008,3773
1407018,3600
1407028,3429
1407038,3447
1407048,3283
1407058,3056
1407068,2867
1407078,2816
1407088,2818
1407098,2859
1407108,2945
1407118,3025
1407128,3163
1407138,3280
1407148,3376
1407158,3472
1407168,3536
1407178,3554
1407188,3550
1407198,3578
1407208,3581
1407218,3583
1407229,3602
1407238,3572
1407248,3536
1407258,3503
1407268,3483
1407278,3530
1407288,3583
1407298,3648
1407308,3717
1407318,3793
1407328,3847
1407338,3895
1407348,3931
1407358,3966
1407368,4095
1407378,4095
1407388,4095
1407398,0
1407408,0
1407418,4095
1407428,4095
1407438,4095
1407448,4095
1407458,4095
1407468,4095
1407478,4095
1407488,4095
1407498,4095
1407508,4095
1407518,4095
1407528,4095
1407538,4095
1407548,4095
1407558,4095
1407568,4095
1407578,4095
1407588,3583
1407598,3609
1407608,3554
1407618,3347
1407628,3182
1407638,3139
1407648,3152
1407658,3153
1407668,3140
1407678,3130
1407688,3146
1407698,3182
1407708,3261
1407718,3319
1407728,3385
1407738,3445
1407748,3487
1407758,3517
1407768,3522
1407778,3568
1407788,3537
1407798,3581
1407808,3698
1407818,3829
1407828,3930
1407838,3904
1407849,3835
1407858,3840
1407868,3948
1407878,4039
1407888,4039
1407898,4037
1407908,4067
1407918,4095
1407928,4095
1407938,0
1407948,4095
1407958,4095
1407968,4095
1407978,4095
1407988,4095
1407998,4095
1408008,4095
1408018,4095
1408028,4095
1408038,4095
1408048,4095
1408058,4095
1408068,4095
1408078,4095
1408088,4095
1408098,3495
1408108,3641
1408118,3629
1408128,3509
1408138,3222
1408148,2782
1408158,2303
1408168,1695
1408178,1392
1408188,1204
1408198,1091
1408208,975
1408218,959
1408228,962
1408238,907
1408248,903
1408258,923
1408268,870
1408278,848
1408288,826
1408298,841
1408308,864
1408318,887
1408328,790
1408338,971
1408348,1509
1408358,2107
1408368,2582
1408378,2924
1408388,3248
1408398,3445
1408408,3581
1408418,3710
1408428,3839
1408438,3899
1408448,3936
1408458,3939
1408468,3942
1408478,3913
1408488,3889
1408498,3888
1408508,3878
1408518,3836
1408528,3759
1408538,3631
1408548,3473
1408558,3344
1408568,3278
1408578,3370
1408588,3431
1408598,3523
1408608,3609
1408618,3654
1408628,3689
1408638,3711
1408648,3735
1408658,3666
1408668,4095
1408678,0
1408688,0
1408698,4095
1408708,4095
1408718,4095
1408728,4095
1408738,4095
1408748,4095
1408758,4095
1408768,4095
1408778,4095
1408788,4095
1408798,4095
1408808,4095
1408818,4095
1408828,3473
1408838,3402
1408848,3459
1408858,3379
1408868,3248
1408878,3199
1408888,3190
